symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,spread_mean,spread_std,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,adf_pvalue,tradeable,skipped
PFC,RECLTD,0.6613012626349547,1,27527,1e-07,1.6581426907299516e-05,0.0030092401183931194,53467.876123722715,50,False,0.9543903224282614,0.37191852384867324,-8.332483828457264e-07,0.0010783230975243523,0.285413636794466,2.0987768593531267e-07,0.0008141789046679886,2.428570646955804,0.0404761774492634,0.7517032578780529,5.211194566183133e-08,0.04640059300650315,0.8750358212603929,False,False
BDL,MAZDOCK,0.6481262601604594,2,27527,1.3216085022494649e-06,8.95271458687181e-06,0.0004741062079859086,74060.86149995546,50,False,0.9115202822994214,0.11582664475252996,-1.5812373675855817e-08,0.0006716888401817289,1.526515891975879,3.5965930825571775e-09,0.0011736477849739533,0.454071381898786,0.0075678563649797664,0.217291416763865,2.815084276125212e-09,-0.00932474035652948,0.7637121816962358,False,False
GRSE,MAZDOCK,0.6223135583329398,3,27527,1e-07,3.089643210243556e-05,0.017550020837713995,29691.338294606157,50,False,1.5701080037639403,-4.426740203487018,-2.080003791133543e-06,0.0027084425961684797,0.16446348442589007,-3.173064919194427e-06,0.0015530179458288947,4.214596224685296,0.0702432704114216,0.8483487343198368,-4.811993110811596e-07,0.12738675717699965,0.176669584484892,False,False
BANKBARODA,CANBK,0.600743730963829,4,27527,1e-07,4.46084182578833e-05,0.006506868864656876,42806.88065278021,50,False,0.338001928668636,3.9900320683608723,-1.361847275245574e-06,0.0012270360568582541,0.2334335146580641,-9.488867496618244e-07,0.0008381489383969451,2.9693558852304247,0.04948926475384041,0.7918102377646726,-1.9754850680034783e-07,0.05191280736877797,0.5172504487165459,False,False
BPCL,HINDPETRO,0.5993120769439445,5,27527,1e-07,9.07822503932592e-05,0.02952446694342121,22392.76489037637,50,False,0.24020043203428637,4.398360217235721,2.9264669885744615e-06,0.0018325343329556715,0.14384771279372077,2.98063107364335e-06,0.0009829548541197427,4.818618016915751,0.08031030028192919,0.8660196217263897,3.9934607874081327e-07,0.10619451487526267,0.8913015369104078,False,False
BPCL,IOC,0.5970018243000894,6,27527,1e-07,9.415530617091598e-05,0.016074674448303974,30468.694345043776,50,False,0.6543175312739278,2.524139046305222,2.239581129053701e-06,0.0012822552337981054,0.22780721221121572,1.8073745703894276e-06,0.0008651489451350928,3.0426919930756227,0.05071153321792705,0.7962777576668832,3.682024002155877e-07,0.06027999907851182,0.8192201748994306,False,False
INFY,TCS,0.5963448240610343,7,27527,1e-07,0.0004871582000176643,0.503919390104857,-16300.75388192581,50,False,1.0345245008335777,-0.9439043359896099,-3.278335756611412e-07,0.0017785611772629325,0.09190723777121472,-2.3142000005673382e-06,0.0007623312079754464,7.541812781768081,0.1256968796961347,0.9121897623760254,-2.0321045195922e-07,0.2168576416539602,0.1254970250048667,False,False
IRFC,RVNL,0.59629915020758,8,27527,1e-07,6.76015306586475e-07,2.1582496194962457e-06,135583.39903147952,50,False,0.5906050648257508,1.3103036687209209,,,,,,,,,,,0.7493173654916854,False,False
BEL,HAL,0.5919494727331697,9,27527,1e-07,3.3799405749389694e-05,0.012311018097028946,34415.37787720858,50,False,0.9880128977561052,-2.173658559991466,-1.828399182677352e-06,0.0016663329536430118,0.15483427125392377,1.9024798735945254e-07,0.0009259854472457613,4.476703865019675,0.07461173108366125,0.8565571218589053,2.7289718867390475e-08,0.11109302643620704,0.6280151516885205,False,False
CANBK,PNB,0.5912896020465772,10,27527,1e-07,0.00022668203758264934,0.03218367152766818,20821.46268756657,50,False,0.8830165091425156,0.7575688646266858,4.4791247197534845e-06,0.0011402301901242405,0.2515314979806494,2.6134730762792026e-06,0.0008045658409048189,2.755707281691098,0.045928454694851635,0.7776089641119173,5.812129846993461e-07,0.05107585128031292,0.04243802289273566,False,False
COCHINSHIP,GRSE,0.5888668206027302,11,27527,1e-07,3.190027691088809e-06,0.0001410868669816228,93055.43610410111,50,False,0.6193345455892094,2.4821165391188833,-3.8940591483069394e-07,0.0008525659565216858,0.9131987733659219,-2.7931627319548046e-07,0.0011520951197174002,0.759032097694462,0.012650534961574367,0.4012386974169518,-1.6724377557116844e-07,-0.006539418136522173,0.6967358003645038,False,False
BANKINDIA,CANBK,0.5871819129252358,12,27527,1e-07,7.242795499956768e-06,0.0005194345287942001,76812.1908637706,50,False,0.5408372686362793,2.3486737640044923,-1.2382052069083673e-06,0.0010527460491095012,0.3618278351819188,-5.878034201079338e-07,0.0008945636570392977,1.915682302914718,0.031928038381911966,0.6964022534887128,-1.784557937363962e-07,0.020230140592476152,0.43153845132711577,False,False
BDL,HAL,0.5812755295762134,13,27527,1e-07,6.82244196550294e-05,0.06544281024020532,11752.859050124793,50,False,1.6211292683644385,-6.296646040766673,7.92058634326401e-07,0.0032612175178057695,0.08638779621077546,-7.135892424292664e-07,0.001355504708496615,8.023670135869105,0.13372783559781842,0.917238460641954,-5.905774417278794e-08,0.20984789393377531,0.2317316243808729,False,False
BANKINDIA,UNIONBANK,0.5785955089782444,14,27527,1e-07,3.531431956882454e-05,0.0054317821560997915,45309.68936809064,50,False,0.5231444923166949,2.342146267648555,-5.515501041522674e-07,0.0013475840765282037,0.2224164935715963,-2.7836633022240586e-07,0.0008987400267528915,3.1164378568751236,0.051940630947918724,0.8005818576905288,-5.551129645445698e-08,0.059006153751456375,0.7726142725732574,False,False
HAL,MAZDOCK,0.5763677642469147,15,27527,1e-07,2.564658251735529e-06,7.702118860216221e-05,100311.2072045608,50,False,0.5146166171468022,4.3263800020368075,-2.741068153285598e-07,0.0005910210434916391,1.0605960570532558,-1.8002382111861909e-07,0.0008606672476955285,0.6535449344265667,0.01089241557377611,0.34624936443354737,-1.1769068747339861e-07,-0.008635296014084132,0.6331902137887663,False,False
HINDPETRO,IOC,0.5760675120342044,16,27527,1e-07,4.6982184719677575e-05,0.0074283234183519595,41031.10071504287,50,False,1.1081463688104973,0.4082166290625519,-8.48098962253437e-07,0.001490219978575698,0.227869102697975,-7.369084229591256e-07,0.0010061186298002602,3.0418655813932998,0.05069775968988833,0.7962284771738782,-1.5016095152977686e-07,0.05399150027138836,0.6179826672572863,False,False
ADANIENT,ADANIGREEN,0.5750074400452473,17,27527,1e-07,3.847048112320471e-05,0.015926016056002485,30951.375675716685,50,False,0.7610143792749793,2.4482896564992593,3.739489471166861e-06,0.0015500330217455402,0.16992691874383659,2.003071046190478e-06,0.0009023522764220165,4.079089915146751,0.06798483191911252,0.8437264749339684,3.130269733458899e-07,0.09615610367513752,0.9590271359482158,False,False
IREDA,IRFC,0.5729160670388255,18,27527,1e-07,1.742185854550639e-06,2.3126280750589147e-05,115534.03672399107,50,False,0.710438595051105,1.5068332611275066,4.2986648838200994e-07,0.0005845973011794146,1.3819292118135178,2.0398608832433422e-07,0.0009706950447403569,0.5015793679115605,0.008359656131859343,0.2510936726120978,1.5276647224520137e-07,-0.00933333110150724,0.0885532801287926,False,False
BANKBARODA,PNB,0.5692820524600195,19,27527,1e-07,3.056929039758116e-05,0.003612412205558118,50760.12143575615,50,False,1.057366798245024,0.6127171962423109,-3.9697335058358073e-07,0.0011675451984624516,0.27711686227794596,-2.4958010734291664e-07,0.0008691703266768719,2.501281137719885,0.04168801896199808,0.7579659143112635,-6.040689308683954e-08,0.042522308421983526,0.2746354496950648,False,False
BANKINDIA,PNB,0.56893308926589,20,27527,1e-07,1.0358389351284378e-05,0.0008383828479728134,70452.76094307702,50,False,0.7735183895441269,1.3408704469258395,2.2926162204614938e-08,0.0010800866034976044,0.3343136187290749,1.6546982019470238e-07,0.0008831537509208762,2.073344134752902,0.03455573557921503,0.7158292495607422,4.702168297977762e-08,0.026105826573666033,0.4466686398050802,False,False
BEL,MAZDOCK,0.5688595618037797,21,27527,1e-07,6.004467881826614e-06,0.0007449679801210773,72019.3736977001,50,False,0.5893039567478197,1.4720679433272317,-1.857349495898737e-06,0.0010260068226303652,0.3967027862551647,-7.577065743633634e-07,0.0009116953955997168,1.7472707643502747,0.029121179405837912,0.6725338822447906,-2.481232303043695e-07,0.023673878989482557,0.4183627709811222,False,False
CANBK,UNIONBANK,0.5659548629723078,22,27527,1e-07,6.349449544489041e-05,0.010764756212730773,35969.63323906505,50,False,1.2393516396284756,-1.4135159250797695,2.2516191346491948e-06,0.001661291116788223,0.22835829837549543,9.303466256220438e-07,0.0011211285438631792,3.0353492099515713,0.05058915349919286,0.7958390609026704,1.8994044077302816e-07,0.06057767289155316,0.6775243806922663,False,False
ADANIENSOL,ADANIGREEN,0.5639436106949239,23,27527,1e-07,7.76986044324564e-06,0.0011301315901370778,66585.0827964271,50,False,0.9545086853891255,0.3667691235557871,-2.2607393588853777e-07,0.0014301435493446573,0.32432342012193216,-2.5795156793265244e-07,0.0011518330599208993,2.1372097651762263,0.035620162752937105,0.7230163665203826,-7.144836254775043e-08,0.029464071802430523,0.40352915352023805,False,False
COCHINSHIP,MAZDOCK,0.5620628166964209,24,27527,1e-07,2.1154590003094677e-05,0.009676888246437452,37788.51515534019,50,False,0.961446478832603,-0.1742142025471947,-2.11568194304168e-06,0.001920080725258436,0.19483731400595594,-1.7382151556736143e-06,0.0011987191639382029,3.557568960013258,0.05929281600022097,0.8229685326197611,-3.0771877963147034e-07,0.0988982515953865,0.6033509921422965,False,False
BDL,BEL,0.5607663087083288,25,27527,1e-07,5.6376912974450065e-05,0.016765517004096835,30131.831316733973,50,False,1.221456801041824,-0.19042449290034716,2.63556298163764e-06,0.002101357596991204,0.16481445357340388,1.0093801182978838e-07,0.0012049076135150312,4.205621324656677,0.07009368874427796,0.8480510423311657,1.533742568670081e-08,0.10430511678558714,0.751749209993159,False,False
BANKBARODA,BANKINDIA,0.5583763155555549,26,27527,1e-07,9.548055757932965e-05,0.015671651819834927,30794.44346112555,50,False,1.1912921938608942,-0.3334826505222147,-5.705121715019033e-07,0.0015949050500353144,0.23739405947644038,-7.115176597148772e-07,0.0010989808208883476,2.9198168736346792,0.04866361456057799,0.788680439774108,-1.5035759894390374e-07,0.0630438599669709,0.4677102499571547,False,False
BDL,GRSE,0.5521512399588028,27,27527,1e-07,1.3325992857814463e-06,1.2238542275403125e-05,119255.1947991485,50,False,0.5333450468641071,3.0536405566987823,,,,,,,,,,,0.7659451436320359,False,False
HINDZINC,VEDL,0.5498326743172866,28,27527,1e-07,7.09541522193447e-05,0.015510317765548879,31075.37957734788,50,False,0.8523914220304764,1.6847170598753047,-4.090108097635023e-06,0.0018437788587617064,0.16608577693906432,-2.5636267461310798e-06,0.0010618068965906754,4.17342889520429,0.06955714825340482,0.8469735802722448,-3.9230262247875395e-07,0.07935282175066538,0.8736894654753775,False,False
DLF,GODREJPROP,0.5496385403433995,29,27527,1e-07,2.1405813387330682e-06,4.733380351577914e-05,105997.80844685006,50,False,0.6121602021193631,1.8521456606154725,2.3103163173450835e-08,0.0006061297567294887,1.3167560789857138,3.4177876626516506e-08,0.0009836499474394677,0.5264051494593218,0.008773419157655364,0.26800327484214026,2.501809376345944e-08,-0.009026602522987018,0.855504791765487,False,False
